COUNTRY,HEALTH-CARE FACILITIES,EDUCATIONAL FACILITIES EXCEPT UNIVERSITIES,UNIVERSITIES,GOVERNMENT FACILITIES,INDOOR OFFICES,RESTAURANTS,PUBS AND BARS,PUBLIC TRANSPORT,ALL OTHER INDOOR PUBLIC PLACES,"OVERALL COMPLIANCE OF REGULATIONS ON SMOKE-FREE ENVIRONMENTS ,"
Afghanistan,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,1
Albania,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Missing
Algeria,Yes,Yes,Yes,No,No,No,Yes,No,Missing,5
Andorra,Yes,Yes,Yes,Yes,No,No,No,Yes,Missing,7
Angola,Yes,Yes,Yes,Yes,No,No,No,Yes,Missing,9
Antigua and Barbuda,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,3
Argentina,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,8
Armenia,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,8
Australia,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Missing,Missing
Austria,No,Yes,No,No,No,Yes,Yes,Yes,Missing,9
Azerbaijan,Yes,Yes,Yes,No,No,No,No,No,Missing,Missing
Bahamas,No,No,No,No,No,No,No,No,Missing,Missing
Bahrain,No,No,No,No,No,No,No,No,Missing,Missing
Bangladesh,Yes,Yes,Yes,Yes,Yes,No,No,No,Missing,6
Barbados,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,10
Belarus,No,Yes,Yes,No,No,No,No,No,Missing,6
Belgium,No,No,No,No,No,No,No,Yes,No,8
Belize,No,No,No,No,No,No,No,No,Missing,Missing
Benin,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,5
Bhutan,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Missing,8
Bolivia (Plurinational State of),Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,3
Bosnia and Herzegovina,No,No,No,No,No,No,No,No,Missing,Missing
Botswana,No,No,No,No,No,No,No,No,Missing,Missing
Brazil,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,10
Brunei Darussalam,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,7
Bulgaria,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,5
Burkina Faso,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,4
Burundi,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0
Cabo Verde,No,No,No,No,No,No,No,Yes,Missing,5
Cambodia,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,7
Cameroon,Yes,Yes,Yes,No,No,No,No,No,Missing,Missing
Canada,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Missing,9
Central African Republic,No,No,No,No,No,No,No,No,Missing,Missing
Chad,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,4
Chile,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,10
China,No,No,No,No,No,No,No,Yes,Missing,8
Colombia,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,8
Comoros,Yes,Yes,Yes,Yes,No,No,No,Yes,Missing,6
Congo,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0
Cook Islands,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Missing,7
Costa Rica,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,9
Côte d'Ivoire,No,No,No,No,No,No,No,No,Missing,Missing
Croatia,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Missing,Missing
Cuba,Yes,Yes,Yes,No,No,No,No,Yes,Missing,4
Cyprus,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Missing,7
Czechia,Yes,Yes,Yes,No,No,No,No,Yes,Missing,9
Democratic People's Republic of Korea,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Missing,8
Democratic Republic of the Congo,Yes,Yes,Yes,No,No,No,No,Yes,Missing,3
Denmark,No,Yes,No,No,No,No,No,No,Missing,9
Djibouti,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Missing,Missing
Dominica,No,No,No,No,No,No,No,No,Missing,Missing
Dominican Republic,Yes,Yes,Yes,No,No,No,No,No,Missing,5
Ecuador,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,8
Egypt,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,3
El Salvador,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,5
Equatorial Guinea,No,No,No,No,No,No,No,No,Missing,Missing
Eritrea,No,No,No,No,No,No,No,No,Missing,Missing
Estonia,No,Yes,No,No,No,No,No,No,Missing,10
Eswatini,No,No,No,No,No,No,No,No,No,Missing
Ethiopia,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,7
Fiji,Yes,No,No,No,No,Yes,No,Yes,Missing,7
Finland,No,Yes,No,No,No,No,No,No,Missing,10
France,Yes,Yes,Yes,No,No,No,No,No,Missing,8
Gabon,Yes,Yes,Yes,Yes,Yes,No,No,No,Missing,3
Gambia,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,5
Georgia,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Missing,8
Germany,No,No,No,No,No,No,No,No,Missing,Missing
Ghana,No,No,No,No,No,No,No,No,No,Missing
Greece,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Missing
Grenada,No,No,No,No,No,No,No,No,Missing,Missing
Guatemala,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,5
Guinea,Yes,Yes,Yes,Yes,No,No,No,Yes,Missing,0
Guinea-Bissau,No,No,No,No,No,No,No,No,Missing,Missing
Guyana,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,6
Haiti,No,No,No,No,No,No,No,No,Missing,Missing
Honduras,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,7
Hungary,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Missing,Missing
Iceland,No,Yes,No,No,No,No,No,No,Missing,10
India,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Missing,8
Indonesia,Yes,Yes,Yes,No,No,No,No,Yes,Missing,2
Iran (Islamic Republic of),Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,9
Iraq,No,No,No,No,No,Yes,Yes,Yes,Missing,3
Ireland,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,10
Israel,Yes,Yes,No,Yes,No,No,No,No,Missing,Missing
Italy,No,No,No,No,No,No,No,No,No,Missing
Jamaica,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,6
Japan,Yes,Yes,Yes,Yes,No,No,No,No,Missing,Missing
Jordan,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Missing
Kazakhstan,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Missing,Missing
Kenya,No,No,No,No,No,No,No,No,Missing,Missing
Kiribati,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Missing,8
Kuwait,Yes,Yes,Yes,No,No,No,No,Yes,Missing,Missing
Kyrgyzstan,Yes,Yes,Yes,Yes,No,No,No,No,Missing,3
Lao People's Democratic Republic,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,6
Latvia,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Missing,8
Lebanon,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,7
Lesotho,Yes,No,No,No,No,No,No,No,Missing,5
Liberia,No,No,No,No,No,No,No,No,Missing,Missing
Libya,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,2
Lithuania,Yes,Yes,Yes,No,No,Yes,No,No,Missing,3
Luxembourg,No,Yes,Yes,No,No,No,No,Yes,Missing,Missing
Madagascar,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,5
Malawi,No,No,No,No,No,No,No,No,Missing,Missing
Malaysia,No,No,No,No,No,No,No,No,Missing,Missing
Maldives,Yes,Yes,Yes,Yes,No,No,No,Yes,Missing,5
Mali,No,No,No,No,No,No,No,No,Missing,Missing
Malta,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Missing
