name,time,treated,d_over_6_years
Albania,2010,1,-0.14615684002766172
Algeria,2012,0,-0.13212368637211114
Angola,2012,0,-0.09440903130866134
Argentina,2012,1,0.04242206550771499
Armenia,2012,0,-0.8762392679932915
Australia,2012,0,-0.5349477278296142
Austria,2012,0,1.9337551754199314
Azerbaijan,2012,0,0.15693800912759404
Bahamas,2012,0,-0.256214850837272
Bahrain,2012,0,-0.8753790075967206
Bangladesh,2012,0,0.30999445966119854
Barbados,2010,1,-0.1957172836936684
Belarus,2012,0,-0.8283392001182127
Belgium,2012,0,1.2629581245206984
Belize,2012,0,-0.3134428819012401
Bosnia and Herzegovina,2012,0,-0.5514556236620294
Botswana,2012,0,-0.3441310656512515
Brazil,2012,1,-0.07147624327744437
Bulgaria,2012,1,0.709769102650122
Burkina Faso,2010,1,-0.011788101968453887
Cabo Verde,2012,0,-1.9176678056711218
Cameroon,2012,0,-0.09987426841387914
Canada,2012,0,-2.7133962120913915
Central African Republic,2012,0,0.029428319505107936
Chad,2010,1,2.307948702300333e-4
Chile,2014,1,1.8787194543996504
China,2012,0,-0.7558388695066991
Comoros,2012,0,-0.005286030444031975
Congo,2012,1,-0.12368208933333354
Costa Rica,2012,1,-0.3981296380798918
Croatia,2012,0,0.8853317478702607
Cuba,2012,0,-0.7191114960672351
Cyprus,2012,0,0.8954298568124937
Czechia,2012,0,-0.738554088386491
Côte d'Ivoire,2012,0,-0.154397757327445
Democratic Republic of the Congo,2012,0,-0.11872407292551308
Denmark,2012,0,0.7290046508215037
Dominican Republic,2012,0,0.022812201784469632
Ecuador,2012,1,-0.11572273789670526
Equatorial Guinea,2012,0,-0.10000564520988837
Eritrea,2012,0,-0.07286298716666646
Estonia,2012,0,-0.11895569220105406
Eswatini,2012,0,-0.13481488183145865
Fiji,2012,0,-0.09616159250757465
Finland,2012,0,0.25176283788027953
France,2012,0,1.624502447837622
Gabon,2012,0,-0.35500656516855844
Georgia,2012,0,0.775955580356861
Germany,2012,0,1.3223425759400378
Ghana,2012,0,-0.01686532911718593
Greece,2010,1,0.07260967846446675
Guinea-Bissau,2012,0,0.02906943484012555
Haiti,2012,0,0.006212796629755754
Honduras,2010,1,-0.039459716650391684
Hungary,2012,0,-1.4384408139013587
Iceland,2012,0,0.15357045626684618
India,2012,0,-0.12660323546277397
Indonesia,2012,0,-0.5905602169657006
Iraq,2012,0,-0.30568372672781524
Israel,2012,0,-0.6104464774009095
Italy,2012,0,-0.072021403107558
Jamaica,2014,1,2.5825447471309673
Japan,2012,0,0.9158422227189242
Kazakhstan,2012,0,-1.5135511484193809
Kenya,2012,0,-0.05635537304014145
Kuwait,2012,0,-0.33910935949999954
Kyrgyzstan,2012,0,-0.1961865159063585
Latvia,2012,0,-0.8147315946920782
Lebanon,2012,1,0.2411528502059479
Lesotho,2012,0,-0.05847816683406777
Liberia,2012,0,-0.045166117764469514
Libya,2010,1,-0.013137031116496722
Lithuania,2012,0,-0.8351646232540908
Luxembourg,2012,0,-0.2237612651933354
Malawi,2012,0,-0.017844583482793757
Malaysia,2012,0,-0.08515880072995952
Mali,2012,0,0.005877790463738486
Malta,2010,1,0.8647130634319034
Mauritania,2012,0,-0.006191728935753444
Mexico,2012,0,-0.3477601015558645
Mongolia,2012,1,-0.5978401306191952
Montenegro,2012,0,-0.004879696757266558
Morocco,2012,0,-0.2863937352399022
Mozambique,2012,0,0.009465705126099382
Myanmar,2012,0,-0.2870901924405125
Namibia,2010,1,-0.06327912184525278
Nepal,2012,1,-0.10010922480069191
Netherlands,2012,0,0.7546596788796005
Nicaragua,2012,0,-0.12320359932323839
Niger,2012,0,-0.006846940008368458
Nigeria,2012,0,-0.009242484353504572
Oman,2012,0,0.21025102868815987
Pakistan,2010,1,-0.16552675642887787
Papua New Guinea,2012,1,-0.18271534670656697
Peru,2010,1,0.06665677604734865
Philippines,2012,0,-0.2572576999980066
Poland,2012,0,-0.21245350113587946
Portugal,2012,0,0.5680925629755222
Qatar,2012,0,-0.2861788738979429
Republic of Korea,2012,0,-0.492838178171765
Republic of Moldova,2012,0,-0.02026126535044881
Rwanda,2012,0,-0.1292819558246843
Samoa,2012,0,-0.06732989885345504
Sao Tome and Principe,2012,0,-0.2945866288081163
Saudi Arabia,2012,0,-0.05386067881849965
Senegal,2012,0,0.03794422213800804
Serbia,2012,0,1.401346268869311
Sierra Leone,2012,0,-0.0712655272915681
Singapore,2012,0,-1.7686736361868807
Slovakia,2012,0,0.5123977540525004
Slovenia,2012,0,-1.1318287519286323
Solomon Islands,2012,0,-0.15910986896986964
Somalia,2012,0,-7.443603708422453e-4
South Africa,2012,0,0.5408273046435873
South Sudan,2012,0,0.006523436459210793
Spain,2010,1,0.16290910861396907
Sri Lanka,2012,0,-0.002039507321174902
Sudan,2012,0,-0.07336569510927982
Suriname,2014,1,-3.8445395744099735
Sweden,2012,0,-0.042989045573162826
Switzerland,2012,0,0.23509798479063093
Syrian Arab Republic,2012,0,-0.0840770588375801
Thailand,2010,1,-0.4864144593258839
Timor-Leste,2012,0,0.1427844026106042
Togo,2012,0,-0.06363677934827623
Trinidad and Tobago,2010,1,0.08372794548990972
Tunisia,2012,0,-0.2785941340658414
Turkmenistan,2010,1,0.03508684988684285
Ukraine,2012,0,-2.4132635930513047
United Arab Emirates,2012,0,-0.3790319190314601
United Republic of Tanzania,2012,0,-0.05427537829140121
United States of America,2012,0,-2.0753450686971298
Uzbekistan,2012,0,-0.34692099838213925
Vanuatu,2012,0,-0.1951205770034218
Venezuela (Bolivarian Republic of),2012,1,-0.5062087140187328
Viet Nam,2012,0,-0.42951429494671933
Yemen,2012,0,3.488987760274717e-4
Zimbabwe,2012,0,-0.17629197219828124
