Country Name	Country Code	Series Name	Series Code	1992 [YR1992]	1993 [YR1993]	1994 [YR1994]	1995 [YR1995]	1996 [YR1996]	1997 [YR1997]	1998 [YR1998]	1999 [YR1999]	2000 [YR2000]	2001 [YR2001]	2002 [YR2002]	2003 [YR2003]	2004 [YR2004]	2005 [YR2005]	2006 [YR2006]	2007 [YR2007]	2008 [YR2008]	2009 [YR2009]	2010 [YR2010]	2011 [YR2011]	2012 [YR2012]	2013 [YR2013]	2014 [YR2014]	2015 [YR2015]	2016 [YR2016]	2017 [YR2017]	2018 [YR2018]
Afghanistan	AFG	GDP per capita (constant 2015 US$)	NY.GDP.PCAP.KD	..	..	..	..	..	..	..	..	..	..	319.847107262897	332.22000973489	322.668009493498	345.925813841934	353.72059702447	392.71046559534	398.971116543866	472.842291632566	526.103675610541	511.998514848414	557.94969211234	568.964543504121	565.179273313985	556.007220861443	552.996907717033	553.355051712755	546.743010078504
Afghanistan	AFG	Population, total	SP.POP.TOTL	14485543	15816601	17075728	18110662	18853444	19357126	19737770	20170847	20779957	21606992	22600774	23680871	24726689	25654274	26433058	27100542	27722281	28394806	29185511	30117411	31161378	32269592	33370804	34413603	35383028	36296111	37171922
Afghanistan	AFG	CO2 emissions (metric tons per capita)	EN.ATM.CO2E.PC	0.0987191160179498	0.0859856046188432	0.0761314539561651	0.0690201164374886	0.0625880343135185	0.0568266177530693	0.0531974990082466	0.040652730150598	0.0370549371204185	0.0374878650392429	0.0486708995010525	0.0570080382600792	0.0456996082249427	0.0639269698296666	0.0733929460601948	0.0870831291861248	0.158356377673251	0.211306250868557	0.297065211570221	0.407073503097594	0.335351023308404	0.263715760645502	0.234036914423758	0.232175631246749	0.208857195602366	0.20332756862023	0.200151071015376
Africa Eastern and Southern	AFE	GDP per capita (constant 2015 US$)	NY.GDP.PCAP.KD	1233.65115586611	1187.07674337051	1178.99594717796	1198.50485405908	1232.31174814117	1241.70572959822	1231.64155591633	1231.53240016786	1238.55186151013	1249.55812798827	1266.27686828006	1269.71482051833	1306.95764251037	1354.00572792033	1406.78903203501	1463.69052361777	1490.08762303189	1464.15741768194	1498.42778592505	1516.76596164235	1505.0943068321	1527.75057132202	1546.13337867026	1549.03794037642	1538.58917515954	1536.36268587729	1533.51418349254
Africa Eastern and Southern	AFE	Population, total	SP.POP.TOTL	322270073	331265579	340379934	349605660	358953595	368440591	378098393	387977990	398113044	408522129	419223717	430246635	441630149	453404076	465581372	478166911	491173160	504604672	518468229	532760424	547482863	562601578	578075373	593871847	609978946	626392880	643090131
Africa Eastern and Southern	AFE	CO2 emissions (metric tons per capita)	EN.ATM.CO2E.PC	0.931920141006098	0.925464631734179	0.91861181412739	0.946474948273096	0.951132322351584	0.971562627514033	0.969680077831292	0.908374393979044	0.900399149757883	0.971980786600712	0.975749134955925	1.00996289646531	1.05718153490629	1.03299842832055	1.02364555057226	1.04596778455517	1.08644884945052	1.02195356572593	1.04887555573041	1.0053381095461	1.02164632918829	1.03183309057281	1.0411447920002	0.987393167382925	0.971016455310255	0.959978016817397	0.933541201136227
Africa Western and Central	AFW	GDP per capita (constant 2015 US$)	NY.GDP.PCAP.KD	1237.71050764422	1191.46954430909	1156.92358953468	1148.37411033016	1169.97486931324	1187.37900948678	1196.56196522159	1181.52954754468	1193.34516225251	1222.5216749993	1308.22950622598	1344.05235574443	1413.26810067425	1455.93048067074	1492.81825254382	1532.64464040752	1584.54545491279	1638.1552097762	1704.60805578538	1738.99339711556	1779.25413560387	1837.27358431556	1894.16998169127	1894.3101949536	1846.31666617559	1839.10375420898	1843.54575760053
Africa Western and Central	AFW	Population, total	SP.POP.TOTL	215976366	221754806	227692136	233807627	240114179	246613750	253302310	260170348	267214544	274433894	281842480	289469530	297353098	305520588	313985474	322741656	331772330	341050537	350556886	360285439	370243017	380437896	390882979	401586651	412551299	423769930	435229381
Africa Western and Central	AFW	CO2 emissions (metric tons per capita)	EN.ATM.CO2E.PC	0.516676903434888	0.518951548675793	0.492858479750043	0.487494789894087	0.507633495479665	0.488415589155106	0.461622319985949	0.453548995521965	0.447243620092775	0.47413968480147	0.474875185600127	0.47459226537591	0.474318246383295	0.50945830203757	0.48795250954826	0.475147837749212	0.475024544693043	0.426769596319387	0.472819124711189	0.497022584362617	0.490866786557112	0.504655298587815	0.507671120670619	0.480743071312896	0.472959364018388	0.476437768956377	0.515544238958445
Albania	ALB	GDP per capita (constant 2015 US$)	NY.GDP.PCAP.KD	1086.43848679251	1197.58059384726	1305.00071871372	1488.02049137342	1633.55157217752	1464.29757891526	1603.64723026087	1821.87265387433	1960.88194605323	2143.52627804401	2247.49749138029	2380.64399716233	2522.44871366768	2675.50793605792	2851.36701213888	3044.8958191892	3298.47804431218	3432.16997290283	3577.11338787611	3678.04673789692	3736.33910076819	3780.69820209921	3855.7597340804	3952.80253807527	4090.37165668632	4249.80373367692	4431.53918101288
